account,date,daily_pnl,total_volume,avg_trade_size,trade_count,avg_leverage,pnl_volatility,win_rate,risk_adjusted_return,aggression_score,capital_efficiency,consistency_index
0x083384f897ee0f19899168e3b1bec365f52a9012,2024-11-11,0.0,900880.13,5089.718248587571,177,1.5875707403715573,0.0,0.0,0.0,281.00002104576566,0.0,0.0
0x083384f897ee0f19899168e3b1bec365f52a9012,2024-11-17,0.0,542413.1799999999,7976.664411764705,68,16.17646994776441,0.0,0.0,0.0,1099.99995644798,0.0,0.0
0x083384f897ee0f19899168e3b1bec365f52a9012,2024-11-18,0.0,949380.0,23734.5,40,7.5,0.0,0.0,0.0,300.0,0.0,0.0
0x083384f897ee0f19899168e3b1bec365f52a9012,2024-11-22,-21227.0,338240.0,28186.666666666668,12,8.333333333333334,1526.1783793454342,0.0,-13.908596972259227,100.0,-0.06275721381249184,0.0
0x083384f897ee0f19899168e3b1bec365f52a9012,2024-11-26,1603.1,465700.0,17248.14814814815,27,74.0740740828178,172.31681367375162,0.4444444444444444,9.303212823630462,2000.0000002360807,0.0034423448571968165,0.002579228529066728
0x083384f897ee0f19899168e3b1bec365f52a9012,2024-11-28,-132271.0,1316799.98,16058.536341463414,82,15.853657993685447,2491.5845458943427,0.0,-53.087100802928944,1299.9999554822066,-0.10044881683541608,0.0
0x083384f897ee0f19899168e3b1bec365f52a9012,2024-11-30,0.0,1116918.77,48561.68565217392,23,13.043478390481582,0.0,0.0,0.0,300.00000298107636,0.0,0.0
0x083384f897ee0f19899168e3b1bec365f52a9012,2024-12-06,-175611.00005600002,1212299.96,36736.36242424243,33,9.090908790953335,20673.809229281236,0.0,-8.494370732548889,299.99999010146007,-0.14485771331367128,0.0
0x083384f897ee0f19899168e3b1bec365f52a9012,2025-01-19,71393.964098,5306093.62,11410.954021505377,465,28.06425852220619,1050.3440755978172,0.04946236559139785,67.97197764874639,13049.88021282588,0.013455089414345188,4.709158331392892e-05
0x083384f897ee0f19899168e3b1bec365f52a9012,2025-01-20,40218.599998,479429.99,9400.588039215687,51,39.215685475591854,2175.1372102662936,0.5490196078431373,18.490143881353603,1999.9999592551846,0.08388836918173623,0.00025240688495394557
0x083384f897ee0f19899168e3b1bec365f52a9012,2025-02-02,76710.0,1858470.0,185847.0,10,60.0,12601.782053941179,0.9,6.087234302701012,600.0,0.041275888230619125,7.141847050490042e-05
0x083384f897ee0f19899168e3b1bec365f52a9012,2025-02-03,101011.685664,19794543.66,23593.019856972587,839,10.820332461805975,1727.5898244164778,0.30512514898688914,58.46971554121573,9078.258935455213,0.005103006535488624,0.00017661897777924876
0x083384f897ee0f19899168e3b1bec365f52a9012,2025-02-04,375620.270243,5616220.88,10576.687156308852,531,29.566478104584007,4706.059084117009,0.15630885122410546,79.81630987823877,15699.799873534108,0.06688132077934462,3.321438349944114e-05
0x083384f897ee0f19899168e3b1bec365f52a9012,2025-02-05,44400.9058,5582863.31,26585.06338095238,210,9.683554303441719,949.222968424913,0.37142857142857144,46.77605497357518,2033.546403722761,0.007953070554398376,0.0003912974963654762
0x083384f897ee0f19899168e3b1bec365f52a9012,2025-02-09,30897.0887,1432708.93,10161.056241134751,141,3.8120805485368416,687.4738419495811,0.9361702127659575,44.94292985379223,537.5033573436947,0.021565502980412384,0.001361753937792533
0x083384f897ee0f19899168e3b1bec365f52a9012,2025-02-10,55086.0,1537560.0,32032.5,48,12.499999999898483,3845.1429789897975,0.3333333333333333,14.326125266776469,599.9999999951272,0.035826894560188983,8.668945083915131e-05
0x083384f897ee0f19899168e3b1bec365f52a9012,2025-02-11,0.0,807600.01,134600.00166666668,6,50.000000619118374,0.0,0.0,0.0,300.00000371471026,0.0,0.0
0x083384f897ee0f19899168e3b1bec365f52a9012,2025-02-24,10152.12224,1603504.46,27178.041694915253,59,10.169491643518452,312.77384615734235,0.5254237288135594,32.45834756412012,600.0000069675887,0.006331209231556281,0.0016798838316850785
0x083384f897ee0f19899168e3b1bec365f52a9012,2025-02-25,115445.395538,2898197.14,13233.776894977169,219,5.194163454381505,3326.4800903193827,0.4246575342465753,34.70497113127494,1137.5217965095496,0.039833520620326114,0.00012765972517158317
0x083384f897ee0f19899168e3b1bec365f52a9012,2025-02-28,115287.0,1372739.97,24958.908545454546,55,10.909090671088228,15545.295908759957,0.01818181818181818,7.416198486618593,599.9999869098525,0.08398313046855918,1.1696025786426433e-06
0x083384f897ee0f19899168e3b1bec365f52a9012,2025-03-01,9482.221441,134360.89,2985.797555555556,45,1.3185822094816853,188.17603173932767,0.8,50.39016554321411,59.33619942667583,0.07057277933280603,0.004251338432180714
0x083384f897ee0f19899168e3b1bec365f52a9012,2025-03-03,533974.662903,5365898.24,8371.136099843994,641,14.235897251671439,2408.864768709008,0.8424336973478939,221.67066811621163,9125.210138321392,0.09951263311748909,0.00034972228741992034
